Date,HS-VaR,AWHS-VaR
2007-07-02 00:00:00-04:00,-0.04381644478158098,-0.022472253075495052
2007-07-03 00:00:00-04:00,-0.04381644478158098,-0.022472253075495052
2007-07-05 00:00:00-04:00,-0.04381644478158098,-0.022472253075495052
2007-07-06 00:00:00-04:00,-0.04381644478158098,-0.022472253075495052
2007-07-09 00:00:00-04:00,-0.04381644478158098,-0.022472253075495052
2007-07-10 00:00:00-04:00,-0.04381644478158098,-0.02623481510055703
2007-07-11 00:00:00-04:00,-0.04381644478158098,-0.02623481510055703
2007-07-12 00:00:00-04:00,-0.04381644478158098,-0.02623481510055703
2007-07-13 00:00:00-04:00,-0.04381644478158098,-0.02623481510055703
2007-07-16 00:00:00-04:00,-0.04381644478158098,-0.02623481510055703
2007-07-17 00:00:00-04:00,-0.04381644478158098,-0.02623481510055703
2007-07-18 00:00:00-04:00,-0.04381644478158098,-0.02623481510055703
2007-07-19 00:00:00-04:00,-0.04381644478158098,-0.02623481510055703
2007-07-20 00:00:00-04:00,-0.04381644478158098,-0.022556457507873606
2007-07-23 00:00:00-04:00,-0.04381644478158098,-0.022556457507873606
2007-07-24 00:00:00-04:00,-0.04381644478158098,-0.02733507464236784
2007-07-25 00:00:00-04:00,-0.04381644478158098,-0.02733507464236784
2007-07-26 00:00:00-04:00,-0.04381644478158098,-0.02733507464236784
2007-07-27 00:00:00-04:00,-0.04381644478158098,-0.02733507464236784
2007-07-30 00:00:00-04:00,-0.04381644478158098,-0.02628708670891322
2007-07-31 00:00:00-04:00,-0.04381644478158098,-0.02628708670891322
2007-08-01 00:00:00-04:00,-0.04381644478158098,-0.02628708670891322
2007-08-02 00:00:00-04:00,-0.04381644478158098,-0.02628708670891322
2007-08-03 00:00:00-04:00,-0.03838791396378127,-0.02628708670891322
2007-08-06 00:00:00-04:00,-0.03838791396378127,-0.02628708670891322
2007-08-07 00:00:00-04:00,-0.03838791396378127,-0.02628708670891322
2007-08-08 00:00:00-04:00,-0.03838791396378127,-0.02628708670891322
2007-08-09 00:00:00-04:00,-0.05031174550661355,-0.03838791396378127
2007-08-10 00:00:00-04:00,-0.05031174550661355,-0.03838791396378127
2007-08-13 00:00:00-04:00,-0.05031174550661355,-0.03838791396378127
2007-08-14 00:00:00-04:00,-0.05031174550661355,-0.03838791396378127
2007-08-15 00:00:00-04:00,-0.05031174550661355,-0.03838791396378127
2007-08-16 00:00:00-04:00,-0.05031174550661355,-0.03838791396378127
2007-08-17 00:00:00-04:00,-0.05031174550661355,-0.03838791396378127
2007-08-20 00:00:00-04:00,-0.05031174550661355,-0.02733507464236784
2007-08-21 00:00:00-04:00,-0.05031174550661355,-0.02733507464236784
2007-08-22 00:00:00-04:00,-0.05031174550661355,-0.02733507464236784
2007-08-23 00:00:00-04:00,-0.05031174550661355,-0.02733507464236784
2007-08-24 00:00:00-04:00,-0.05031174550661355,-0.02628708670891322
2007-08-27 00:00:00-04:00,-0.05031174550661355,-0.02628708670891322
2007-08-28 00:00:00-04:00,-0.05031174550661355,-0.029169313921582285
2007-08-29 00:00:00-04:00,-0.05031174550661355,-0.029169313921582285
2007-08-30 00:00:00-04:00,-0.05031174550661355,-0.029169313921582285
2007-08-31 00:00:00-04:00,-0.05031174550661355,-0.029169313921582285
2007-09-04 00:00:00-04:00,-0.05031174550661355,-0.029169313921582285
2007-09-05 00:00:00-04:00,-0.05031174550661355,-0.029169313921582285
2007-09-06 00:00:00-04:00,-0.05031174550661355,-0.029169313921582285
2007-09-07 00:00:00-04:00,-0.05031174550661355,-0.029169313921582285
2007-09-10 00:00:00-04:00,-0.05031174550661355,-0.029169313921582285
2007-09-11 00:00:00-04:00,-0.05031174550661355,-0.029169313921582285
2007-09-12 00:00:00-04:00,-0.05031174550661355,-0.029169313921582285
2007-09-13 00:00:00-04:00,-0.05031174550661355,-0.029169313921582285
2007-09-14 00:00:00-04:00,-0.05031174550661355,-0.02733507464236784
2007-09-17 00:00:00-04:00,-0.05031174550661355,-0.02733507464236784
2007-09-18 00:00:00-04:00,-0.05031174550661355,-0.02628708670891322
2007-09-19 00:00:00-04:00,-0.05031174550661355,-0.02628708670891322
2007-09-20 00:00:00-04:00,-0.05031174550661355,-0.02628708670891322
2007-09-21 00:00:00-04:00,-0.05031174550661355,-0.02628708670891322
2007-09-24 00:00:00-04:00,-0.05031174550661355,-0.02623481510055703
2007-09-25 00:00:00-04:00,-0.05031174550661355,-0.02623481510055703
2007-09-26 00:00:00-04:00,-0.05031174550661355,-0.024944681908951827
2007-09-27 00:00:00-04:00,-0.05031174550661355,-0.024944681908951827
2007-09-28 00:00:00-04:00,-0.05031174550661355,-0.024944681908951827
2007-10-01 00:00:00-04:00,-0.05031174550661355,-0.024944681908951827
2007-10-02 00:00:00-04:00,-0.05031174550661355,-0.024944681908951827
2007-10-03 00:00:00-04:00,-0.05031174550661355,-0.024944681908951827
2007-10-04 00:00:00-04:00,-0.05031174550661355,-0.024944681908951827
2007-10-05 00:00:00-04:00,-0.05031174550661355,-0.024944681908951827
2007-10-08 00:00:00-04:00,-0.05031174550661355,-0.024944681908951827
2007-10-09 00:00:00-04:00,-0.05031174550661355,-0.022633653537184717
2007-10-10 00:00:00-04:00,-0.05031174550661355,-0.022633653537184717
2007-10-11 00:00:00-04:00,-0.05031174550661355,-0.022633653537184717
2007-10-12 00:00:00-04:00,-0.05031174550661355,-0.022633653537184717
2007-10-15 00:00:00-04:00,-0.05031174550661355,-0.022633653537184717
2007-10-16 00:00:00-04:00,-0.05031174550661355,-0.025069724285300077
2007-10-17 00:00:00-04:00,-0.05031174550661355,-0.025069724285300077
2007-10-18 00:00:00-04:00,-0.05031174550661355,-0.025069724285300077
2007-10-19 00:00:00-04:00,-0.05031174550661355,-0.025069724285300077
2007-10-22 00:00:00-04:00,-0.05031174550661355,-0.025069724285300077
2007-10-23 00:00:00-04:00,-0.05031174550661355,-0.025069724285300077
2007-10-24 00:00:00-04:00,-0.05031174550661355,-0.025069724285300077
2007-10-25 00:00:00-04:00,-0.05031174550661355,-0.025069724285300077
2007-10-26 00:00:00-04:00,-0.05031174550661355,-0.024944681908951827
2007-10-29 00:00:00-04:00,-0.05031174550661355,-0.024944681908951827
2007-10-30 00:00:00-04:00,-0.05031174550661355,-0.024944681908951827
2007-10-31 00:00:00-04:00,-0.05031174550661355,-0.024944681908951827
2007-11-01 00:00:00-04:00,-0.05702093383225881,-0.029169313921582285
2007-11-02 00:00:00-04:00,-0.05702093383225881,-0.029169313921582285
2007-11-05 00:00:00-05:00,-0.05702093383225881,-0.026398780557148505
2007-11-06 00:00:00-05:00,-0.05702093383225881,-0.026398780557148505
2007-11-07 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2007-11-08 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2007-11-09 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2007-11-12 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2007-11-13 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2007-11-14 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2007-11-15 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2007-11-16 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
2007-11-19 00:00:00-05:00,-0.05702093383225881,-0.042393291565958835
