Date,HS-VaR,AWHS-VaR
2007-01-03 00:00:00+01:00,,
2007-01-04 00:00:00+01:00,,
2007-01-05 00:00:00+01:00,,
2007-01-08 00:00:00+01:00,,
2007-01-09 00:00:00+01:00,,
2007-01-10 00:00:00+01:00,,
2007-01-11 00:00:00+01:00,,
2007-01-12 00:00:00+01:00,,
2007-01-15 00:00:00+01:00,,
2007-01-16 00:00:00+01:00,,
2007-01-17 00:00:00+01:00,,
2007-01-18 00:00:00+01:00,,
2007-01-19 00:00:00+01:00,,
2007-01-22 00:00:00+01:00,,
2007-01-23 00:00:00+01:00,,
2007-01-24 00:00:00+01:00,,
2007-01-25 00:00:00+01:00,,
2007-01-26 00:00:00+01:00,,
2007-01-29 00:00:00+01:00,,
2007-01-30 00:00:00+01:00,,
2007-01-31 00:00:00+01:00,,
2007-02-01 00:00:00+01:00,,
2007-02-02 00:00:00+01:00,,
2007-02-05 00:00:00+01:00,,
2007-02-06 00:00:00+01:00,,
2007-02-07 00:00:00+01:00,,
2007-02-08 00:00:00+01:00,,
2007-02-09 00:00:00+01:00,,
2007-02-12 00:00:00+01:00,,
2007-02-13 00:00:00+01:00,,
2007-02-14 00:00:00+01:00,,
2007-02-15 00:00:00+01:00,,
2007-02-16 00:00:00+01:00,,
2007-02-19 00:00:00+01:00,,
2007-02-20 00:00:00+01:00,,
2007-02-21 00:00:00+01:00,,
2007-02-22 00:00:00+01:00,,
2007-02-23 00:00:00+01:00,,
2007-02-26 00:00:00+01:00,,
2007-02-27 00:00:00+01:00,,
2007-02-28 00:00:00+01:00,,
2007-03-01 00:00:00+01:00,,
2007-03-02 00:00:00+01:00,,
2007-03-05 00:00:00+01:00,,
2007-03-06 00:00:00+01:00,,
2007-03-07 00:00:00+01:00,,
2007-03-08 00:00:00+01:00,,
2007-03-09 00:00:00+01:00,,
2007-03-12 00:00:00+01:00,,
2007-03-13 00:00:00+01:00,,
2007-03-14 00:00:00+01:00,,
2007-03-15 00:00:00+01:00,,
2007-03-16 00:00:00+01:00,,
2007-03-19 00:00:00+01:00,,
2007-03-20 00:00:00+01:00,,
2007-03-21 00:00:00+01:00,,
2007-03-22 00:00:00+01:00,,
2007-03-23 00:00:00+01:00,,
2007-03-26 00:00:00+02:00,,
2007-03-27 00:00:00+02:00,,
2007-03-28 00:00:00+02:00,,
2007-03-29 00:00:00+02:00,,
2007-03-30 00:00:00+02:00,,
2007-04-02 00:00:00+02:00,,
2007-04-03 00:00:00+02:00,,
2007-04-04 00:00:00+02:00,,
2007-04-05 00:00:00+02:00,,
